feature,sel_freq,mean_abs_coef,coef_at_Cstar,is_flag,cohens_d,t_p_fdr,mw_p_fdr,univariate_rank
S059,1.0,0.40854828590798214,0.4649787319642864,False,0.7936841121492163,3.988915066834807e-06,5.239633860583779e-10,1.0
S021,0.985,0.1124430162776672,0.16047201239907966,False,0.47478878643458783,0.10513026971897535,0.015437061356318206,13.0
S064,0.955,0.13686676517021545,0.18866091110948863,False,0.37997694746855265,0.20753646989573615,0.5671153200212602,31.666666666666668
S333,0.9,0.07149985000941735,0.1171340855502228,False,0.4049988560720657,0.10361170150942212,0.058567685883312404,16.666666666666668
S341,0.795,0.06284417286508273,0.10018003605961687,False,0.5745499148135673,0.01105234943652184,0.00504929917217645,3.6666666666666665
S346_isna,0.745,0.038109036363448506,-0.03557844660255918,True,,,,
S445,0.74,0.05910533950342175,0.1598019536721543,False,0.24308804076863053,0.14420757396509773,0.24848867794763677,52.0
S152,0.73,0.04962929784942933,0.08977128298507339,False,0.4034126583339519,0.18300170292724355,0.03732812000031547,23.666666666666668
S460,0.685,0.04028151644247174,0.08597646014654278,False,0.30122576116099536,0.14420757396509773,0.04972957378357316,42.0
S510,0.675,0.04557808115109028,0.05286570165420179,False,0.5015612548275231,0.02953774132282257,0.003648947000355185,8.333333333333334
S073_isna,0.665,0.007582662979037076,-2.4803850620334928e-06,True,,,,
S345_isna,0.66,0.007131151703443006,-0.014338269535945865,True,,,,
S129,0.65,0.04567551385848511,0.1009130194997247,False,0.4267696006351896,3.988915066834807e-06,0.014128047858714856,9.333333333333334
S072_isna,0.635,0.0060939415109215935,-0.02550495945702543,True,,,,
S584,0.625,0.0324190499538703,0.0800446111624767,False,0.33452103348447293,0.24083096566615908,0.3845573726075882,46.0
S115,0.455,0.020691138975159822,-0.040264792805376426,False,-0.24957026926564285,0.222748924086013,0.24848867794763677,56.666666666666664
S114,0.455,0.00945173149595682,0.010653470867288383,False,0.3343576966888179,0.5001549496650339,0.37452497295767595,72.33333333333333
S348,0.44,0.017966199825690844,0.0054329313812622555,False,0.3826377858967749,0.1440991807443509,0.09324475714646734,22.0
S063,0.43,0.02515855136093059,0.026418981817205464,False,0.3273968468134883,0.24085773934860674,0.5738662842220531,48.666666666666664
S280,0.425,0.01614922113509337,-0.0721704346523136,False,-0.2714680944125578,0.01105234943652184,0.1474417998171576,39.333333333333336
